trial_id,case_id,repetition,text,language,scenario,expected_kind,expected_direction,accepted_kind,accepted_direction,accepted_source,semantic_success,command_success,odom_success,overall_success,command_latency_ms,actuation_latency_ms,odom_response_latency_ms,completion_latency_ms,stop_command_latency_ms,settle_latency_ms,sim_start_x_m,sim_start_y_m,sim_start_yaw_deg,sim_end_x_m,sim_end_y_m,sim_end_yaw_deg,sim_displacement_m,sim_longitudinal_displacement_m,sim_yaw_delta_deg,sim_final_speed_mps,real_odom_available,real_displacement_m,real_longitudinal_displacement_m,real_yaw_delta_deg,twin_displacement_error_m,twin_heading_error_deg,failure_reason
forward-zh-01-r01,forward-zh-01,1,往前行駛 2 秒,zh,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,40.93452400411479,40.63575400505215,927.7983780193608,2053.5203390172683,,3837.825160997454,-4.559543836480015,3.380169016028712,12.214975919415767,-4.31635351483247,3.432663163315391,12.199146917873351,0.24879141472806415,0.24879137037338248,-0.01582900154241573,0.0014315270876116913,False,,,,,,
forward-zh-02-r01,forward-zh-02,1,請朝前方走 2 秒,zh,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,3.4403919999022037,45.43868399923667,859.9564040196128,2071.59613200929,,3768.7118720205035,-4.316537772637478,3.4326203600609855,12.198918021052812,-4.073384418262186,3.4850212068272954,12.18065847287513,0.2487356075952591,0.24873555470001368,-0.018259548177680572,0.0013426847154753934,False,,,,,,
forward-en-01-r01,forward-en-01,1,move forward for 2 seconds,en,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,29.31151501252316,41.33687901776284,870.9103700239211,2076.5062170103192,,3794.3317200115416,-4.073561470451737,3.4849779408069246,12.179887968693986,-3.8304046236962095,3.5373301556816488,12.168840094236835,0.24872878105756144,0.24872874818628843,-0.011047874457152475,0.0014352152207238499,False,,,,,,
forward-en-02-r01,forward-en-02,1,drive ahead for 2 seconds,en,timed_motion,move_linear,forward,move_linear,forward,ollama,True,True,True,True,2537.82792299171,2537.94819599716,3368.1978530075867,4540.470784995705,,6305.376620002789,-3.8305939610150137,3.537284958414709,12.168300698572581,-3.592651191221407,3.5884185877447528,12.150075896295847,0.243375039282001,0.24337498009257033,-0.018224802276732687,0.0013903709913721896,False,,,,,,
backward-zh-01-r01,backward-zh-01,1,往後退 2 秒,zh,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,39.94144598254934,38.94383899751119,818.5862980026286,2138.843475986505,,3841.1979349912144,-3.5928474187452295,3.588374330515865,12.14956066797698,-3.8370583510031024,3.5356108936169277,12.177807715685518,0.2498458719043553,-0.24984580419202085,0.028247047708536876,0.0031951545828604456,False,,,,,,
backward-zh-02-r01,backward-zh-02,1,請倒車 2 秒,zh,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,10.151525988476351,22.11461798287928,825.3090819926001,2043.1711819837801,,3745.8774390106555,-3.8371019856906177,3.535597218977787,12.177294082999074,-4.0763283258217475,3.4837844269259035,12.208289044611426,0.2447729707969137,-0.24477290074101643,0.03099496161235214,0.0032995646200011065,False,,,,,,
backward-en-01-r01,backward-en-01,1,move backward for 2 seconds,en,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,14.176338008837774,25.91902800486423,892.5086389936041,2049.604333995376,,3805.5253479979,-4.076376402271743,3.4837731275019723,12.2082082069492,-4.320447677262544,3.4307646487896823,12.239408711077477,0.2497612581867468,-0.24976118030806788,0.03120050412827681,0.0033773400650199577,False,,,,,,
backward-en-02-r01,backward-en-02,1,reverse for 2 seconds,en,timed_motion,move_linear,backward,move_linear,backward,ollama,True,True,True,True,2597.930649004411,2645.2735229977407,3482.9571429872885,4630.634055996779,,6315.54283600417,-4.32049676400298,3.430755254854623,12.239746545001857,-4.564663078616542,3.3775849407494802,12.271152715951574,0.2498885181316028,-0.2498884398756481,0.03140617094971673,0.003333280455877353,False,,,,,,
left-zh-01-r01,left-zh-01,1,往左轉 2 秒,zh,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,41.44307202659547,41.22887901030481,1146.283817011863,2107.555147027597,,3737.636828009272,-4.5647126600519465,3.377573876957279,12.271520812563935,-4.339765099144037,3.4906755922529733,24.608712516295412,0.2517804662026941,0.2438469826806433,12.337191703731479,0.0029253305389301213,False,,,,,,
left-zh-02-r01,left-zh-02,1,請向左轉彎 2 秒,zh,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,57.87974700797349,104.38613401493058,1213.9295060187578,2087.5935710209887,,3777.7523930126335,-4.339490842618209,3.490030260620641,24.33824202326398,-4.1464263052736845,3.643774169661219,36.328956123058205,0.24680175272297528,0.2392679214958967,11.990714099794225,0.002951483324114233,False,,,,,,
left-en-01-r01,left-en-01,1,turn left for 2 seconds,en,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,47.18624899396673,46.834551001666114,1111.340665986063,2045.2149600023404,,3817.9937200038694,-4.1460428564134055,3.643225612436979,36.061688256402945,-3.983353399049181,3.842038070659779,48.72747687802475,0.25689346640593724,0.24854763857178347,12.66578862162181,0.003074166315279417,False,,,,,,
left-en-02-r01,left-en-02,1,steer left for 2 seconds,en,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,104.70984899438918,103.67545700864866,1146.9456350023393,2002.2885680082254,,3702.825802989537,-3.9828513763319227,3.841575578469251,48.46042559725973,-3.86949442779817,4.060829148096677,60.45382768528747,0.24682367304465036,0.23928203849988033,11.993402088027743,0.0030208979223098147,False,,,,,,
right-zh-01-r01,right-zh-01,1,往右轉 2 秒,zh,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,9.064639016287401,49.689578008838,1170.0932380044833,2099.9608999991324,,3786.1975110135972,-3.868915267283265,4.060483154951727,60.18749349920044,-3.6952573212174005,4.242928553331288,48.346447721087394,0.2518797443656234,0.24463638729443818,-11.841045778113052,0.0020467744804329633,False,,,,,,
right-zh-02-r01,right-zh-02,1,請向右轉彎 2 秒,zh,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,98.6501750012394,126.08767801430076,1243.3540380152408,2093.0276220024098,,3878.5399360058364,-3.6957528990894843,4.243373898994705,48.61403688026324,-3.5031180317525936,4.380966695472935,37.784413679642974,0.23672762778476247,0.23058848789103062,-10.829623200620265,0.0019888589095124576,False,,,,,,
right-en-01-r01,right-en-01,1,turn right for 2 seconds,en,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,12.21560500562191,102.57077898131683,1288.6504689813592,2106.5537690010387,,3937.336128001334,-3.5034972060695515,4.381472829080684,38.05121006144516,-3.293907292872213,4.480164269073473,27.55621582068646,0.23166340246555608,0.22587371155920077,-10.4949942407587,0.001995704369342113,False,,,,,,
right-en-02-r01,right-en-02,1,steer right for 2 seconds,en,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,46.255505993030965,45.21545101306401,1155.8155759994406,2019.8390709992964,,3815.4833969892934,-3.2941983159503625,4.480753547102279,27.824380610857588,-3.060150960768023,4.541253651914968,16.650522838489447,0.24174041273687474,0.23522658126983453,-11.173857772368137,0.002110962006455777,False,,,,,,
stop-zh-01-r01,stop-zh-01,1,停,zh,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,37.85437598708086,,,,37.678871012758464,832.4272920144722,-3.0597265657644415,4.542068929414249,16.919482920105377,-3.0380317972133883,4.548640583513626,16.91875979344184,0.02266825136806137,0.02266823578814995,-0.0007231266635381573,0.001366044420548411,False,,,,,,
stop-zh-02-r01,stop-zh-02,1,請停下來,zh,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,97.62786500505172,,,,192.18212401028723,1148.3597830228973,-3.0381512333942724,4.5486045843225975,16.91893894488823,-3.004517972367091,4.558793696007016,16.91564984470701,0.03514276944465338,0.03514274690899951,-0.0032891001812221056,0.0014234472417998128,False,,,,,,
stop-en-01-r01,stop-en-01,1,stop,en,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,72.2680080216378,,,,183.80984201212414,935.490332019981,-3.0041882361838628,4.558885895874507,16.914819673257803,-2.9790125398640694,4.566511537135233,16.914044248719495,0.026305248332295715,0.026305232217747606,-0.000775424538306208,0.0014347131020922548,False,,,,,,
stop-en-02-r01,stop-en-02,1,bring the vehicle to a stop,en,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,4.8626580100972205,,,,173.16684001707472,1179.4953140197322,-2.9782223131832075,4.566745312361892,16.912974618005542,-2.941232940065415,4.577957654389993,16.911570534232006,0.03865139502530782,0.038651380487479875,-0.001404083773537566,0.0013557004126270996,False,,,,,,
forward-zh-01-r02,forward-zh-01,2,往前行駛 2 秒,zh,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,2.6603700243867934,56.26543200924061,859.3570180237293,2057.8573620005045,,3815.4013340245,-2.941415505488895,4.577896257816611,16.910919329095712,-2.7081666835993126,4.648684003864923,16.8971355973655,0.24375380592614018,0.24375377553464325,-0.01378373173021228,0.0013541265863856353,False,,,,,,
forward-zh-02-r02,forward-zh-02,2,請朝前方走 2 秒,zh,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,14.338100008899346,14.246323000406846,891.1106169980485,2019.2579760041554,,3808.8190229900647,-2.7083419012386107,4.648624051807004,16.89672811738286,-2.4798158678630675,4.717899494276547,16.880209587539394,0.23879538282745513,0.2387953442713347,-0.016518529843467328,0.0013698546495866388,False,,,,,,
forward-en-01-r02,forward-en-01,2,move forward for 2 seconds,en,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,144.21246299752966,341.651375987567,1082.2954889736138,2246.6336299839895,,4030.3086699859705,-2.4800084047778213,4.717838555364063,16.879586824847376,-2.2371947131517764,4.791370287689366,16.865916888948526,0.25370337896809353,0.25370334038236403,-0.013669935898850568,0.0014219122910103207,False,,,,,,
forward-en-02-r02,forward-en-02,2,drive ahead for 2 seconds,en,timed_motion,move_linear,forward,move_linear,forward,ollama,True,True,True,True,2683.0298790009692,2720.479981013341,3546.201344986912,4775.1841800054535,,6523.896741011413,-2.2373580623803004,4.791315128074297,16.865641534078662,-1.9996491846928737,4.863202196744194,16.845160410109763,0.24834101790354018,0.24834095899905242,-0.020481123968898313,0.0013077653190519914,False,,,,,,
backward-zh-01-r02,backward-zh-01,2,往後退 2 秒,zh,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,238.2618070114404,242.4224920105189,1035.2255479956511,2338.895449996926,,4126.465148001444,-1.99982900542988,4.863146050479162,16.844678722836626,-2.238959505236125,4.790550920888959,16.871219658479305,0.24990688021301607,-0.24990681133719944,0.02654093564267907,0.003281456762885677,False,,,,,,
backward-zh-02-r02,backward-zh-02,2,請倒車 2 秒,zh,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,2.0962540002074093,22.63116600806825,815.366285998607,2140.183858020464,,3835.753077000845,-2.2390074289190256,4.790531276771634,16.871087807215456,-2.4684070099121715,4.720763923554858,16.900343464030392,0.2397741673631779,-0.2397740933598684,0.029255656814935877,0.0033119144729990444,False,,,,,,
backward-en-01-r02,backward-en-01,2,move backward for 2 seconds,en,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,117.93691999628209,117.66546199214645,982.2255169856362,2167.7192539791577,,3893.8086080015637,-2.468447905434259,4.720749061942849,16.900220713831544,-2.7026025454054436,4.6494040141106945,16.929727793124552,0.24478257958892316,-0.24478250294971338,0.02950707929300781,0.0016611166836278998,False,,,,,,
backward-en-02-r02,backward-en-02,2,reverse for 2 seconds,en,timed_motion,move_linear,backward,move_linear,backward,ollama,True,True,True,True,2530.5845760158263,2530.6679530185647,3259.7685029904824,4738.831622002181,,6248.414827015949,-2.702638304005965,4.649392023322062,16.92962288545078,-2.946420605101547,4.574970508266009,16.960320037992417,0.25488894097370174,-0.25488885636216735,0.030697152541634992,0.003375527376534947,False,,,,,,
left-zh-01-r02,left-zh-01,2,往左轉 2 秒,zh,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,22.769342991523445,78.74922198243439,1207.2507249831688,2115.100237977458,,3806.0896410024725,-2.946469045702193,4.574956108420657,16.96042981301911,-2.735308937349186,4.70254797879779,28.951312879147185,0.2467149706564013,0.2391959806729062,11.990883066128074,0.002915522593018233,False,,,,,,
left-zh-02-r02,left-zh-02,2,請向左轉彎 2 秒,zh,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,26.011620997451246,43.96073901443742,1114.2326359986328,2044.0109280170873,,3781.297392997658,-2.734993089987311,4.701945881353439,28.684496993422318,-2.5511036988870313,4.874020193973981,41.01207625794187,0.251842961432444,0.24391504791191204,12.327579264519548,0.002898291115655469,False,,,,,,
left-en-01-r02,left-en-01,2,turn left for 2 seconds,en,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,19.28570301970467,99.64487300021574,1200.3784410189837,2136.771020013839,,3800.873168016551,-2.550672653412666,4.8734979561374105,40.74578373174727,-2.4068341075955093,5.080254804472394,53.08028986544313,0.2518688579324753,0.24392497731769913,12.334506133695859,0.0028296880808277142,False,,,,,,
left-en-02-r02,left-en-02,2,steer left for 2 seconds,en,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,21.25053299823776,22.43026898941025,1075.8491560118273,2104.848671995569,,3874.2082779936027,-2.4062999539641052,5.07984291860109,52.81694492869019,-2.3078213474711546,5.317148140483079,65.47488917831694,0.2569276245740298,0.24858000966146926,12.657944249626745,0.002907632890735373,False,,,,,,
right-zh-01-r02,right-zh-01,2,往右轉 2 秒,zh,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,11.005117004970089,85.66412000800483,1094.9681870115455,2125.9663100063335,,3990.7440099923406,-2.3072082531682674,5.316865633748719,65.20946780314296,-2.1383035261856564,5.523698605143841,52.36453399675389,0.2670368604766123,0.25859474864304405,-12.84493380638906,0.002040254231945652,False,,,,,,
right-zh-02-r02,right-zh-02,2,請向右轉彎 2 秒,zh,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,51.26701499102637,152.07996001117863,1170.3038350096904,2093.2124360115267,,3862.1567960071843,-2.138805133884628,5.524086718794469,52.63228334198495,-1.9426601430769905,5.682137067131533,40.79330498090678,0.2518983327225401,0.24465748901603568,-11.838978361078171,0.0019712747373069783,False,,,,,,
right-en-01-r02,right-en-01,2,turn right for 2 seconds,en,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,24.265993997687474,23.77621497726068,1126.0571109887678,2071.0894679941703,,3694.525563973002,-1.9430861810583475,5.682644539230985,41.061249149772586,-1.7142934792805584,5.799431219482606,28.878326274307295,0.2568759020830382,0.2492246207418658,-12.182922875465291,0.0021013783373768718,False,,,,,,
right-en-02-r02,right-en-02,2,steer right for 2 seconds,en,timed_motion,rotate,right,rotate,right,guarded_fast_path,True,True,True,True,20.481952000409365,55.0751379923895,1161.9410759885795,2056.478551996406,,3751.2210060085636,-1.714601859905719,5.800017125060596,29.146232280195232,-1.471778328467012,5.866749639335949,17.318029274524704,0.25182632086792445,0.24457851938533276,-11.828203005670527,0.0020924312294602213,False,,,,,,
stop-zh-01-r02,stop-zh-01,2,停,zh,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,9.671779989730567,,,,130.29308800469153,1018.4592250152491,-1.4695764782090184,5.868128233346208,17.586960259414276,-1.4383035714689987,5.878007521729753,17.585314646542717,0.03279626556385988,0.03279625026693034,-0.0016456128715615999,0.001431651049310404,False,,,,,,
stop-zh-02-r02,stop-zh-02,2,請停下來,zh,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,4.146157996729016,,,,9.618212003260851,837.5153829983901,-1.4368749822295528,5.878455704381067,17.585132617696427,-1.4163764680517692,5.884924852143138,17.582938995785803,0.021495091445823254,0.02149507544848494,-0.0021936219106225077,0.0014231364245559548,False,,,,,,
stop-en-01-r02,stop-en-01,2,stop,en,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,88.7920779932756,,,,41.11171199474484,959.2555319832172,-1.4150221324500778,5.885340462473666,17.5829506971979,-1.3871733875556571,5.8941391494567235,17.5820521013928,0.029205641318422543,0.02920563052835135,-0.000898595805100663,0.0014386359823827114,False,,,,,,
stop-en-02-r02,stop-en-02,2,bring the vehicle to a stop,en,stop,stop,stop,stop,stop,guarded_fast_path,True,True,True,True,62.15190698276274,,,,62.18552298378199,901.3338469958398,-1.3842733931600175,5.895047042273036,17.581679231522813,-1.3580025272432723,5.903350997467043,17.582648698200483,0.027552024750999406,0.02755201788131732,0.0009694666776697595,0.0014238792259553181,False,,,,,,
forward-zh-01-r03,forward-zh-01,3,往前行駛 2 秒,zh,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,6.511502026114613,6.432462017983198,827.2582890058402,2031.725491018733,,3784.205492003821,-1.3581594401540655,5.903297281330281,17.58045962089834,-1.1210014231038665,5.978288432107716,17.56467320050094,0.24873197974146075,0.24873193820258355,-0.015786420397396975,0.0013191873932443296,False,,,,,,
forward-zh-02-r03,forward-zh-02,3,請朝前方走 2 秒,zh,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,63.79284700960852,62.99911401583813,831.0879170021508,2015.688774001319,,3736.0313670069445,-1.1211665971018134,5.9782304076836486,17.56461986628785,-0.8887291056334242,6.0516467939964365,17.54562363780997,0.2437563398546713,0.24375629260939569,-0.018996228477879087,0.0013606382838258829,False,,,,,,
forward-en-01-r03,forward-en-01,3,move forward for 2 seconds,en,timed_motion,move_linear,forward,move_linear,forward,guarded_fast_path,True,True,True,True,2.080525999190286,9.954581008059904,857.7219760045409,2017.3029790166765,,3872.76277699857,-0.8889154532273068,6.051587296805821,17.545273133783795,-0.6469300433840909,6.127946954143809,17.529590266110105,0.25374738588951823,0.2537473464815906,-0.015682867673686575,0.0014193572533108883,False,,,,,,
forward-en-02-r03,forward-en-02,3,drive ahead for 2 seconds,en,timed_motion,move_linear,forward,move_linear,forward,ollama,True,True,True,True,2538.8470999896526,2718.14568398986,3426.265493995743,4621.8841429799795,,6423.909506993368,-0.6471333933947055,6.127881702319401,17.529059852849983,-0.4150013822917536,6.201028072357697,17.510171886869905,0.24338377519563678,0.2433837186189791,-0.018887965980078476,0.0012899435978978595,False,,,,,,
backward-zh-01-r03,backward-zh-01,3,往後退 2 秒,zh,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,96.29123500781134,102.10461899987422,863.3996820135508,2101.384534005774,,3832.353594014421,-0.4151513204988461,6.200979615011822,17.508487184226585,-0.6533864497798866,6.1256215429046454,17.535971598183284,0.24986959770100986,-0.24986952194439124,0.027484413956699722,0.0032616059407836995,False,,,,,,
backward-zh-02-r03,backward-zh-02,3,請倒車 2 秒,zh,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,7.601813005749136,7.705061987508088,801.7127870116383,2031.994210992707,,3779.80270300759,-0.6534311365380612,6.125603335628666,17.535526693020348,-0.8915241249267338,6.050157821749296,17.56593902589244,0.24976047862776624,-0.24976039624674506,0.030412332872093592,0.003340927857092371,False,,,,,,
backward-en-01-r03,backward-en-01,3,move backward for 2 seconds,en,timed_motion,move_linear,backward,move_linear,backward,guarded_fast_path,True,True,True,True,82.27414501016028,135.4221810179297,1067.6574370008893,2131.9551540073007,,3908.838204020867,-0.8915659356655009,6.050141050754818,17.565817689455553,-1.1201113895079686,5.977592554562634,17.59529231501418,0.23978387929927014,-0.23978380375412758,0.02947462555862714,0.003265306814408529,False,,,,,,
backward-en-02-r03,backward-en-02,3,reverse for 2 seconds,en,timed_motion,move_linear,backward,move_linear,backward,ollama,True,True,True,True,2452.070440980606,2461.185160995228,3238.1360009894706,4454.411297978368,,6341.442595992703,-1.1201617069787413,5.977573383161176,17.59514779372099,-1.353535018776255,5.9033497728821205,17.625325232556104,0.244892317115496,-0.24489223137185415,0.03017743883511257,0.0032841257618174474,False,,,,,,
left-zh-01-r03,left-zh-01,3,往左轉 2 秒,zh,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,33.76505299820565,102.18396401614882,1162.0669180119876,2015.1746930205263,,3750.3025120240636,-1.3535866362863394,5.9033305988920555,17.624998425730244,-1.1476534736296546,6.029898405076686,29.28022341193283,0.24171859060522177,0.2345893096451364,11.655224986202589,0.00292500408928915,False,,,,,,
left-zh-02-r03,left-zh-02,3,請向左轉彎 2 秒,zh,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,12.786970008164644,125.74240198591724,1207.3028849845286,2135.3646269999444,,3799.7532470035367,-1.1473354513538176,6.029293928815446,29.012074283463853,-0.9674295861545394,6.198241866256401,41.00035107777041,0.2467985532750421,0.23926955424521318,11.988276794306556,0.002915713828247277,False,,,,,,
left-en-01-r03,left-en-01,3,turn left for 2 seconds,en,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,64.15392199414782,63.195114984409884,1176.9864809757564,2044.2900380003266,,3768.6330169963185,-0.9669932650805267,6.197710579434296,40.73379379250592,-0.8251434344211742,6.399711337574582,52.71757816598895,0.24683127992079432,0.2393013259598884,11.983784373483024,0.0029168613856065525,False,,,,,,
left-en-02-r03,left-en-02,3,steer left for 2 seconds,en,timed_motion,rotate,left,rotate,left,guarded_fast_path,True,True,True,True,25.12865699827671,142.38930400460958,1255.0993989862036,2073.631894978462,,3805.1820139808115,-0.8246076574982374,6.399292780026855,52.45360674000954,-0.7289629836761738,6.615892396434923,63.75905719523799,0.2367768938445033,0.2300194162761359,11.305450455228456,0.002929220808224486,False,,,,,,
